sps 100000
-1.0000000 -0.9437901 8
-1.0000000 -0.9413423 8
-1.0000000 -0.9388423 8
-1.0000000 -0.9362903 8
-1.0000000 -0.9336862 8
-1.0000000 -0.9310300 8
-1.0000000 -0.9283218 8
-1.0000000 -0.9255615 8
-1.0000000 -0.9227490 8
-1.0000000 -0.9198846 8
-1.0000000 -0.9169680 8
-1.0000000 -0.9139993 8
-1.0000000 -0.9109785 8
-1.0000000 -0.9079057 8
-1.0000000 -0.9047808 8
-1.0000000 -0.9016016 8
-1.0000000 -0.8983702 8
-1.0000000 -0.8950867 8
-1.0000000 -0.8917512 8
-1.0000000 -0.8883636 8
-1.0000000 -0.8849240 8
-1.0000000 -0.8814322 8
-1.0000000 -0.8778884 8
-1.0000000 -0.8742925 8
-1.0000000 -0.8706445 8
-1.0000000 -0.8669444 8
-1.0000000 -0.8631923 8
-1.0000000 -0.8593880 8
-1.0000000 -0.8555317 8
-1.0000000 -0.8516233 8
-1.0000000 -0.8476628 8
-1.0000000 -0.8436502 8
-1.0000000 -0.8395857 8
-1.0000000 -0.8354689 8
-1.0000000 -0.8313000 8
-1.0000000 -0.8270792 8
-1.0000000 -0.8228062 8
-1.0000000 -0.8184811 8
-1.0000000 -0.8141040 8
-1.0000000 -0.8096747 8
-1.0000000 -0.8051912 8
-1.0000000 -0.8006556 8
-1.0000000 -0.7960678 8
-1.0000000 -0.7914280 8
-1.0000000 -0.7867361 8
-1.0000000 -0.7819921 8
-1.0000000 -0.7771961 8
-1.0000000 -0.7723479 8
-1.0000000 -0.7674477 8
-1.0000000 -0.7624954 8
-1.0000000 -0.7574911 8
-1.0000000 -0.7524345 8
-1.0000000 -0.7473259 8
-1.0000000 -0.7421653 8
-1.0000000 -0.7369526 8
-1.0000000 -0.7316879 8
-1.0000000 -0.7263710 8
-1.0000000 -0.7210020 8
-1.0000000 -0.7155809 8
-1.0000000 -0.7101078 8
-1.0000000 -0.7045827 8
-1.0000000 -0.6990117 253
-1.0000000 -0.6934373 249
-1.0000000 -0.6878628 251
-1.0000000 -0.6822883 251
-1.0000000 -0.6767139 249
-1.0000000 -0.6711394 249
-1.0000000 -0.6655650 249
-1.0000000 -0.6599907 249
-1.0000000 -0.6544161 251
-1.0000000 -0.6488417 251
-1.0000000 -0.6432673 249
-1.0000000 -0.6376928 249
-1.0000000 -0.6321184 249
-1.0000000 -0.6265439 249
-1.0000000 -0.6209694 251
-1.0000000 -0.6153950 251
-1.0000000 -0.6098206 251
-1.0000000 -0.6042462 249
-1.0000000 -0.5986717 249
-1.0000000 -0.5930973 249
-1.0000000 -0.5875229 249
-1.0000000 -0.5819484 251
-1.0000000 -0.5763740 251
-1.0000000 -0.5707995 249
-1.0000000 -0.5652250 249
-1.0000000 -0.5596506 249
-1.0000000 -0.5540763 249
-1.0000000 -0.5485018 251
-1.0000000 -0.5429273 251
-1.0000000 -0.5373529 249
-1.0000000 -0.5317784 249
-1.0000000 -0.5262040 249
-1.0000000 -0.5206296 249
-1.0000000 -0.5150551 251
-1.0000000 -0.5094806 251
-1.0000000 -0.5039062 249
-1.0000000 -0.4983318 249
-1.0000000 -0.4927574 249
-1.0000000 -0.4871829 249
-1.0000000 -0.4816084 251
-1.0000000 -0.4760340 251
-1.0000000 -0.4704596 251
-1.0000000 -0.4648852 249
-1.0000000 -0.4593107 249
-1.0000000 -0.4537362 249
-1.0000000 -0.4481619 249
-1.0000000 -0.4425874 251
-1.0000000 -0.4370130 251
-1.0000000 -0.4314385 249
-1.0000000 -0.4258640 249
-1.0000000 -0.4202896 249
-1.0000000 -0.4147152 249
-1.0000000 -0.4091407 251
-1.0000000 -0.4035664 251
-1.0000000 -0.3979919 249
-1.0000000 -0.3924174 249
-1.0000000 -0.3868430 249
-1.0000000 -0.3812686 249
-1.0000000 -0.3756941 251
-1.0000000 -0.3701196 251
-1.0000000 -0.3645452 249
-1.0000000 -0.3589707 249
-1.0000000 -0.3533964 249
-1.0000000 -0.3478219 249
-1.0000000 -0.3422474 251
-1.0000000 -0.3366730 251
-1.0000000 -0.3310985 251
-1.0000000 -0.3255241 249
-1.0000000 -0.3199496 249
-1.0000000 -0.3143752 249
-1.0000000 -0.3088008 249
-1.0000000 -0.3032263 251
-1.0000000 -0.2976518 251
-1.0000000 -0.2920775 249
-1.0000000 -0.2865030 249
-1.0000000 -0.2809286 249
-1.0000000 -0.2753541 249
-1.0000000 -0.2697797 251
-1.0000000 -0.2642052 251
-1.0000000 -0.2586308 249
-1.0000000 -0.2530563 249
-1.0000000 -0.2474820 249
-1.0000000 -0.2419075 249
-1.0000000 -0.2363330 251
-1.0000000 -0.2307586 251
-1.0000000 -0.2251842 249
-1.0000000 -0.2196097 249
-1.0000000 -0.2140353 249
-1.0000000 -0.2084608 249
-1.0000000 -0.2028863 251
-1.0000000 -0.1973120 251
-1.0000000 -0.1917376 251
-1.0000000 -0.1861631 249
-1.0000000 -0.1805886 249
-1.0000000 -0.1750142 249
-1.0000000 -0.1694398 249
-1.0000000 -0.1638653 251
-1.0000000 -0.1582909 251
-1.0000000 -0.1527165 249
-1.0000000 -0.1471420 249
-1.0000000 -0.1415676 249
-1.0000000 -0.1359932 249
-1.0000000 -0.1304187 251
-1.0000000 -0.1248442 251
-1.0000000 -0.1192698 249
-1.0000000 -0.1136953 249
-1.0000000 -0.1081209 249
-1.0000000 -0.1025464 249
-1.0000000 -0.0969720 251
-1.0000000 -0.0913976 251
-1.0000000 -0.0858232 249
-1.0000000 -0.0802487 249
-1.0000000 -0.0746743 249
-1.0000000 -0.0690998 249
-1.0000000 -0.0635253 251
-1.0000000 -0.0579509 251
-1.0000000 -0.0523765 251
-1.0000000 -0.0468021 249
-1.0000000 -0.0412276 249
-1.0000000 -0.0356532 249
-1.0000000 -0.0300788 249
-1.0000000 -0.0245043 251
-1.0000000 -0.0189299 251
-1.0000000 -0.0133554 249
-1.0000000 -0.0077809 249
-1.0000000 -0.0022065 249
-1.0000000 0.0033680 249
-1.0000000 0.0089424 251
-1.0000000 0.0145168 251
-1.0000000 0.0200912 249
-1.0000000 0.0256657 249
-1.0000000 0.0312401 249
-1.0000000 0.0368145 249
-1.0000000 0.0423890 251
-1.0000000 0.0479635 251
-1.0000000 0.0535380 249
-1.0000000 0.0591124 249
-1.0000000 0.0646868 249
-1.0000000 0.0702612 249
-1.0000000 0.0758357 251
-1.0000000 0.0814101 251
-1.0000000 0.0869845 251
-1.0000000 0.0925589 249
-1.0000000 0.0981334 249
-1.0000000 0.1037079 249
-1.0000000 0.1092823 249
-1.0000000 0.1148568 251
-1.0000000 0.1204312 251
-1.0000000 0.1260056 249
-1.0000000 0.1315801 249
-1.0000000 0.1371545 249
-1.0000000 0.1427289 249
-1.0000000 0.1483034 251
-1.0000000 0.1538779 251
-1.0000000 0.1594522 249
-1.0000000 0.1650267 249
-1.0000000 0.1706012 249
-1.0000000 0.1761756 249
-1.0000000 0.1817501 251
-1.0000000 0.1873245 251
-1.0000000 0.1928989 249
-1.0000000 0.1984733 249
-1.0000000 0.2040477 249
-1.0000000 0.2096222 249
-1.0000000 0.2151967 251
-1.0000000 0.2207711 251
-1.0000000 0.2263456 251
-1.0000000 0.2319200 249
-1.0000000 0.2374945 249
-1.0000000 0.2430689 249
-1.0000000 0.2486433 249
-1.0000000 0.2542177 251
-1.0000000 0.2597921 251
-1.0000000 0.2653666 249
-1.0000000 0.2709411 249
-1.0000000 0.2765155 249
-1.0000000 0.2820900 249
-1.0000000 0.2876645 251
-1.0000000 0.2932389 251
-1.0000000 0.2988133 249
-1.0000000 0.3043877 249
-1.0000000 0.3099621 249
-1.0000000 0.3155365 249
-1.0000000 0.3211110 251
-1.0000000 0.3266855 251
-1.0000000 0.3322599 249
-1.0000000 0.3378344 249
-1.0000000 0.3434089 249
-1.0000000 0.3489833 249
-1.0000000 0.3545577 251
-1.0000000 0.3601321 251
-1.0000000 0.3657065 251
-1.0000000 0.3712810 249
-1.0000000 0.3768555 249
-1.0000000 0.3824299 249
-1.0000000 0.3880043 249
-1.0000000 0.3935788 251
-1.0000000 0.3991532 251
-1.0000000 0.4047277 249
-1.0000000 0.4103021 249
-1.0000000 0.4158765 249
-1.0000000 0.4214509 249
-1.0000000 0.4270254 251
-1.0000000 0.4325999 251
-1.0000000 0.4381743 249
-1.0000000 0.4437488 249
-1.0000000 0.4493232 249
-1.0000000 0.4548975 249
-1.0000000 0.4604720 251
-1.0000000 0.4660465 251
-1.0000000 0.4716209 249
-1.0000000 0.4771954 249
-1.0000000 0.4827698 249
-1.0000000 0.4883443 249
-1.0000000 0.4939188 251
-1.0000000 0.4994932 251
-1.0000000 0.5050676 251
-1.0000000 0.5106419 249
-1.0000000 0.5162164 249
-1.0000000 0.5217909 249
-1.0000000 0.5273653 249
